application_id,customer_id,application_date,customer_type,country,region,product_type,channel,risk_tier,rework_flag,rework_reason,manual_review_flag,review_team,status,touch_time_hours,wait_time_hours,total_cycle_time_hours,sla_breach_flag,has_support_ticket
APP-1000000,CUST-2000000,2025-05-29 21:52:44,Standard_Retail,DEU,UK_EU,SME_Operating_Account,Web_Portal,LOW,True,Incomplete_Form,True,L1_Ops,APPROVED,11.81,78.98,90.79,True,False
APP-1000001,CUST-2000001,2025-06-09 00:53:39,Fintech_Digital,AUS,APAC,Savings_HighYield,Branch_Assisted,LOW,False,None,True,L2_Compliance,APPROVED,11.42,56.45,67.87,True,False
APP-1000002,CUST-2000002,2025-01-09 13:05:07,SME_Business,USA,US,Premier_Checking,Web_Portal,HIGH,True,Address_Proof_Mismatch,True,L2_Compliance,APPROVED,7.26,129.32,136.58,True,True
APP-1000003,CUST-2000003,2025-06-28 01:56:22,Premier_Wealth,USA,US,Savings_HighYield,Mobile_App,MEDIUM,True,Address_Proof_Mismatch,True,L1_Ops,APPROVED,8.39,90.38,98.77,True,False
APP-1000004,CUST-2000004,2025-07-06 15:58:38,Standard_Retail,SGP,APAC,SME_Operating_Account,Affiliate_Partner,LOW,False,None,False,None,APPROVED,1.87,8.23,10.1,False,False
APP-1000005,CUST-2000005,2025-09-07 06:15:44,Standard_Retail,FRA,UK_EU,SME_Operating_Account,Web_Portal,LOW,True,Blurry_Image,False,None,APPROVED,3.39,53.95,57.34,True,False
APP-1000006,CUST-2000006,2025-07-31 05:43:50,Standard_Retail,AUS,APAC,Savings_HighYield,Web_Portal,LOW,False,None,True,L1_Ops,APPROVED,14.13,83.05,97.18,True,False
APP-1000007,CUST-2000007,2025-12-09 21:39:49,Fintech_Digital,FRA,UK_EU,Savings_HighYield,Mobile_App,LOW,True,Name_Mismatch,False,None,APPROVED,4.11,43.52,47.63,False,True
APP-1000008,CUST-2000008,2025-03-27 19:56:42,Premier_Wealth,FRA,UK_EU,Savings_HighYield,Mobile_App,HIGH,False,None,True,L2_Compliance,APPROVED,12.38,71.6,83.98,True,False
APP-1000009,CUST-2000009,2025-12-11 08:09:29,SME_Business,GBR,UK_EU,Checking_Standard,Mobile_App,LOW,False,None,False,None,APPROVED,2.19,6.0,8.19,False,True
APP-1000010,CUST-2000010,2025-07-05 16:27:51,Standard_Retail,MEX,LATAM,Savings_HighYield,Mobile_App,LOW,True,Expired_ID,True,L1_Ops,APPROVED,7.65,61.22,68.87,True,True
APP-1000011,CUST-2000011,2025-05-01 21:18:39,Fintech_Digital,DEU,UK_EU,Savings_HighYield,Web_Portal,LOW,False,None,False,None,APPROVED,2.32,9.91,12.23,False,False
APP-1000012,CUST-2000012,2025-08-06 00:14:40,SME_Business,FRA,UK_EU,Checking_Standard,Mobile_App,MEDIUM,True,Name_Mismatch,False,None,ABANDONED,2.48,46.02,48.5,True,True
APP-1000013,CUST-2000013,2025-05-25 20:17:10,Standard_Retail,MEX,LATAM,Checking_Standard,Mobile_App,LOW,True,Blurry_Image,False,None,ABANDONED,3.02,46.28,49.3,True,False
APP-1000014,CUST-2000014,2025-02-28 11:28:42,Standard_Retail,AUS,APAC,Savings_HighYield,Branch_Assisted,LOW,False,None,False,None,APPROVED,2.73,5.73,8.46,False,True
APP-1000015,CUST-2000015,2025-06-25 05:08:18,Standard_Retail,DEU,UK_EU,Checking_Standard,Mobile_App,LOW,False,None,True,L2_Compliance,APPROVED,23.76,110.99,134.75,True,False
APP-1000016,CUST-2000016,2025-03-21 06:07:53,Standard_Retail,AUS,APAC,Savings_HighYield,Mobile_App,HIGH,False,None,True,L2_Compliance,APPROVED,11.36,41.18,52.54,True,False
APP-1000017,CUST-2000017,2025-06-14 00:06:58,Standard_Retail,AUS,APAC,Checking_Standard,Mobile_App,LOW,True,Incomplete_Form,True,L1_Ops,APPROVED,9.92,97.28,107.2,True,False
APP-1000018,CUST-2000018,2025-03-08 04:39:02,Standard_Retail,USA,US,Checking_Standard,Mobile_App,LOW,True,Blurry_Image,True,L1_Ops,APPROVED,12.83,50.59,63.42,True,True
APP-1000019,CUST-2000019,2025-07-04 22:21:59,Standard_Retail,DEU,UK_EU,Premier_Checking,Web_Portal,LOW,False,None,False,None,APPROVED,2.32,15.0,17.32,False,False
APP-1000020,CUST-2000020,2025-08-15 11:04:42,Premier_Wealth,FRA,UK_EU,Savings_HighYield,Affiliate_Partner,LOW,True,Blurry_Image,True,L1_Ops,APPROVED,10.97,87.22,98.19,True,True
APP-1000021,CUST-2000021,2025-07-21 19:26:49,Standard_Retail,USA,US,Savings_HighYield,Mobile_App,LOW,True,Name_Mismatch,True,L1_Ops,APPROVED,5.22,244.06,249.28,True,False
APP-1000022,CUST-2000022,2025-06-26 01:49:26,Standard_Retail,GBR,UK_EU,Savings_HighYield,Mobile_App,LOW,False,None,False,None,APPROVED,1.12,6.8,7.92,False,False
APP-1000023,CUST-2000023,2025-01-04 12:19:41,Standard_Retail,FRA,UK_EU,SME_Operating_Account,Mobile_App,LOW,True,Incomplete_Form,False,None,APPROVED,1.76,22.33,24.09,False,False
APP-1000024,CUST-2000024,2025-02-14 16:55:07,Standard_Retail,FRA,UK_EU,Premier_Checking,Mobile_App,LOW,False,None,False,None,APPROVED,2.45,8.81,11.26,False,False
APP-1000025,CUST-2000025,2025-10-05 10:31:50,SME_Business,USA,US,Checking_Standard,Branch_Assisted,LOW,False,None,False,None,APPROVED,3.36,8.49,11.85,False,False
APP-1000026,CUST-2000026,2025-07-01 21:18:13,Standard_Retail,BRA,LATAM,Checking_Standard,Mobile_App,LOW,True,Expired_ID,True,L1_Ops,APPROVED,9.61,43.62,53.23,True,True
APP-1000027,CUST-2000027,2025-10-01 07:36:29,Standard_Retail,USA,US,Checking_Standard,Mobile_App,LOW,True,Incomplete_Form,False,None,APPROVED,2.07,39.23,41.3,False,False
APP-1000028,CUST-2000028,2025-10-14 17:30:25,Premier_Wealth,GBR,UK_EU,Savings_HighYield,Web_Portal,LOW,False,None,False,None,APPROVED,2.03,10.23,12.26,False,False
APP-1000029,CUST-2000029,2025-01-13 10:59:21,Standard_Retail,FRA,UK_EU,Premier_Checking,Web_Portal,LOW,False,None,False,None,ABANDONED,1.97,13.7,15.67,False,False
APP-1000030,CUST-2000030,2025-02-26 01:43:53,Premier_Wealth,FRA,UK_EU,Savings_HighYield,Mobile_App,LOW,False,None,False,None,APPROVED,1.87,4.86,6.73,False,False
APP-1000031,CUST-2000031,2025-03-20 20:23:46,Standard_Retail,USA,US,Checking_Standard,Web_Portal,LOW,True,Blurry_Image,True,L1_Ops,APPROVED,8.66,110.95,119.61,True,True
APP-1000032,CUST-2000032,2025-03-23 01:59:58,Standard_Retail,BRA,LATAM,Savings_HighYield,Mobile_App,LOW,True,Blurry_Image,True,L1_Ops,ABANDONED,3.67,320.0,323.67,True,False
APP-1000033,CUST-2000033,2025-12-03 13:56:44,Fintech_Digital,USA,US,Checking_Standard,Web_Portal,LOW,True,Expired_ID,False,None,APPROVED,2.1,31.94,34.04,False,False
APP-1000034,CUST-2000034,2025-07-19 14:47:17,Fintech_Digital,USA,US,Savings_HighYield,Mobile_App,LOW,False,None,False,None,APPROVED,1.31,10.34,11.65,False,True
APP-1000035,CUST-2000035,2025-11-16 04:20:43,SME_Business,USA,US,Checking_Standard,Mobile_App,MEDIUM,False,None,True,L1_Ops,APPROVED,11.44,93.61,105.05,True,False
APP-1000036,CUST-2000036,2025-05-02 09:54:04,Standard_Retail,GBR,UK_EU,Checking_Standard,Web_Portal,LOW,True,Blurry_Image,True,L1_Ops,ABANDONED,9.65,320.0,329.65,True,True
APP-1000037,CUST-2000037,2025-10-07 14:19:54,Standard_Retail,DEU,UK_EU,SME_Operating_Account,Web_Portal,LOW,False,None,True,L2_Compliance,REJECTED,15.93,91.35,107.28,True,False
APP-1000038,CUST-2000038,2025-06-08 06:58:36,SME_Business,BRA,LATAM,Premier_Checking,Mobile_App,LOW,False,None,False,None,APPROVED,1.25,14.93,16.18,False,False
APP-1000039,CUST-2000039,2025-04-20 21:23:01,Standard_Retail,DEU,UK_EU,Checking_Standard,Branch_Assisted,LOW,False,None,True,L2_Compliance,APPROVED,9.12,56.5,65.62,True,False
APP-1000040,CUST-2000040,2025-12-06 19:20:27,Standard_Retail,BRA,LATAM,Savings_HighYield,Mobile_App,LOW,False,None,False,None,APPROVED,2.05,10.91,12.96,False,False
APP-1000041,CUST-2000041,2025-08-24 09:45:06,Standard_Retail,MEX,LATAM,Premier_Checking,Mobile_App,MEDIUM,False,None,False,None,APPROVED,2.14,5.83,7.97,False,False
APP-1000042,CUST-2000042,2025-07-06 02:55:45,Standard_Retail,BRA,LATAM,Savings_HighYield,Mobile_App,HIGH,True,Blurry_Image,True,L2_Compliance,APPROVED,8.99,121.93,130.92,True,False
APP-1000043,CUST-2000043,2025-04-13 12:32:25,Fintech_Digital,USA,US,Premier_Checking,Web_Portal,LOW,False,None,False,None,APPROVED,2.84,11.81,14.65,False,False
APP-1000044,CUST-2000044,2025-04-28 16:59:38,Standard_Retail,DEU,UK_EU,Checking_Standard,Mobile_App,LOW,False,None,False,None,APPROVED,2.28,15.48,17.76,False,False
APP-1000045,CUST-2000045,2025-06-02 18:21:20,Premier_Wealth,GBR,UK_EU,Checking_Standard,Web_Portal,MEDIUM,False,None,True,L1_Ops,APPROVED,12.85,60.32,73.17,True,True
APP-1000046,CUST-2000046,2025-06-15 00:43:24,Standard_Retail,MEX,LATAM,Savings_HighYield,Mobile_App,LOW,False,None,False,None,APPROVED,1.88,7.84,9.72,False,False
APP-1000047,CUST-2000047,2025-02-14 19:02:35,Standard_Retail,AUS,APAC,Premier_Checking,Mobile_App,LOW,False,None,False,None,APPROVED,2.68,8.19,10.87,False,False
APP-1000048,CUST-2000048,2025-11-23 22:52:18,Standard_Retail,USA,US,Savings_HighYield,Branch_Assisted,LOW,False,None,True,L1_Ops,APPROVED,13.89,29.64,43.53,False,False
APP-1000049,CUST-2000049,2025-08-29 09:29:45,Standard_Retail,GBR,UK_EU,Checking_Standard,Mobile_App,LOW,True,Expired_ID,False,None,APPROVED,2.71,36.42,39.13,False,True
APP-1000050,CUST-2000050,2025-06-02 14:49:55,Fintech_Digital,BRA,LATAM,Savings_HighYield,Web_Portal,LOW,False,None,False,None,APPROVED,1.48,13.01,14.49,False,False
APP-1000051,CUST-2000051,2025-06-10 21:43:08,SME_Business,MEX,LATAM,Savings_HighYield,Mobile_App,LOW,False,None,False,None,APPROVED,3.32,9.59,12.91,False,False
APP-1000052,CUST-2000052,2025-09-13 22:41:18,Fintech_Digital,DEU,UK_EU,Checking_Standard,Affiliate_Partner,LOW,False,None,False,None,REJECTED,1.67,8.3,9.97,False,False
APP-1000053,CUST-2000053,2025-03-14 20:22:00,Fintech_Digital,FRA,UK_EU,Premier_Checking,Branch_Assisted,LOW,False,None,False,None,APPROVED,1.33,3.11,4.44,False,False
APP-1000054,CUST-2000054,2025-01-04 15:44:11,Premier_Wealth,GBR,UK_EU,Premier_Checking,Mobile_App,PEP,True,Blurry_Image,True,L2_Compliance,APPROVED,12.82,291.89,304.71,True,True
APP-1000055,CUST-2000055,2025-09-10 23:23:40,Fintech_Digital,USA,US,SME_Operating_Account,Web_Portal,LOW,False,None,False,None,APPROVED,2.35,9.4,11.75,False,False
APP-1000056,CUST-2000056,2025-10-12 08:46:17,Standard_Retail,USA,US,Premier_Checking,Mobile_App,LOW,True,Address_Proof_Mismatch,False,None,APPROVED,1.73,39.85,41.58,False,False
APP-1000057,CUST-2000057,2025-06-02 13:00:01,Standard_Retail,MEX,LATAM,Checking_Standard,Web_Portal,LOW,True,Blurry_Image,True,L1_Ops,APPROVED,11.1,77.68,88.78,True,True
APP-1000058,CUST-2000058,2025-07-01 23:01:39,Standard_Retail,GBR,UK_EU,Checking_Standard,Mobile_App,LOW,True,Address_Proof_Mismatch,True,L1_Ops,APPROVED,8.86,125.5,134.36,True,True
APP-1000059,CUST-2000059,2025-01-22 18:58:04,Standard_Retail,DEU,UK_EU,SME_Operating_Account,Web_Portal,LOW,False,None,False,None,APPROVED,1.38,11.76,13.14,False,False
APP-1000060,CUST-2000060,2025-11-23 04:56:40,Standard_Retail,AUS,APAC,Premier_Checking,Mobile_App,HIGH,False,None,True,L2_Compliance,APPROVED,13.41,61.96,75.37,True,False
APP-1000061,CUST-2000061,2025-09-04 15:13:28,Standard_Retail,USA,US,Savings_HighYield,Affiliate_Partner,MEDIUM,True,Blurry_Image,False,None,APPROVED,2.07,32.0,34.07,False,False
APP-1000062,CUST-2000062,2025-04-19 15:32:33,SME_Business,USA,US,Premier_Checking,Web_Portal,LOW,False,None,False,None,APPROVED,1.96,7.96,9.92,False,False
APP-1000063,CUST-2000063,2025-05-02 04:01:23,Standard_Retail,GBR,UK_EU,Premier_Checking,Affiliate_Partner,LOW,False,None,False,None,APPROVED,2.17,10.15,12.32,False,False
APP-1000064,CUST-2000064,2025-05-29 13:04:27,Standard_Retail,AUS,APAC,Checking_Standard,Web_Portal,MEDIUM,True,Expired_ID,True,L1_Ops,APPROVED,24.31,176.56,200.87,True,True
APP-1000065,CUST-2000065,2025-11-18 21:11:06,Standard_Retail,AUS,APAC,Checking_Standard,Branch_Assisted,MEDIUM,False,None,False,None,APPROVED,2.23,8.22,10.45,False,False
APP-1000066,CUST-2000066,2025-09-20 16:56:10,Standard_Retail,FRA,UK_EU,Premier_Checking,Mobile_App,LOW,False,None,False,None,APPROVED,3.68,5.43,9.11,False,False
APP-1000067,CUST-2000067,2025-12-04 08:23:28,SME_Business,GBR,UK_EU,Savings_HighYield,Mobile_App,LOW,True,Expired_ID,False,None,APPROVED,1.26,94.96,96.22,True,True
APP-1000068,CUST-2000068,2025-04-18 00:17:07,Standard_Retail,GBR,UK_EU,Savings_HighYield,Web_Portal,LOW,True,Expired_ID,True,L1_Ops,APPROVED,14.66,85.01,99.67,True,False
APP-1000069,CUST-2000069,2025-08-15 11:07:03,Fintech_Digital,USA,US,Savings_HighYield,Mobile_App,LOW,False,None,False,None,REJECTED,2.22,6.81,9.03,False,False
APP-1000070,CUST-2000070,2025-06-10 16:41:35,SME_Business,USA,US,Savings_HighYield,Branch_Assisted,MEDIUM,False,None,True,L2_Compliance,APPROVED,20.22,183.02,203.24,True,False
APP-1000071,CUST-2000071,2025-09-27 08:06:02,Standard_Retail,USA,US,Savings_HighYield,Mobile_App,LOW,False,None,False,None,APPROVED,2.42,14.28,16.7,False,False
APP-1000072,CUST-2000072,2025-09-10 15:23:40,Standard_Retail,GBR,UK_EU,Savings_HighYield,Branch_Assisted,LOW,False,None,False,None,APPROVED,2.51,13.03,15.54,False,False
APP-1000073,CUST-2000073,2025-01-11 02:21:19,SME_Business,DEU,UK_EU,Savings_HighYield,Web_Portal,LOW,False,None,False,None,APPROVED,1.85,14.33,16.18,False,False
APP-1000074,CUST-2000074,2025-06-23 14:03:51,SME_Business,FRA,UK_EU,Premier_Checking,Web_Portal,LOW,False,None,False,None,APPROVED,3.48,8.44,11.92,False,False
APP-1000075,CUST-2000075,2025-11-12 05:32:37,SME_Business,BRA,LATAM,Savings_HighYield,Mobile_App,MEDIUM,False,None,True,L1_Ops,APPROVED,17.16,111.79,128.95,True,False
APP-1000076,CUST-2000076,2025-01-26 08:26:45,SME_Business,AUS,APAC,Checking_Standard,Branch_Assisted,MEDIUM,False,None,False,None,APPROVED,1.56,9.34,10.9,False,False
APP-1000077,CUST-2000077,2025-07-31 02:03:08,Standard_Retail,GBR,UK_EU,Checking_Standard,Mobile_App,LOW,False,None,False,None,APPROVED,1.78,13.89,15.67,False,False
APP-1000078,CUST-2000078,2025-06-30 00:23:41,Standard_Retail,BRA,LATAM,Premier_Checking,Mobile_App,LOW,False,None,False,None,APPROVED,1.33,10.62,11.95,False,False
APP-1000079,CUST-2000079,2025-09-20 09:13:53,Standard_Retail,SGP,APAC,Premier_Checking,Web_Portal,LOW,True,Expired_ID,True,L1_Ops,APPROVED,8.31,186.33,194.64,True,False
APP-1000080,CUST-2000080,2025-05-20 08:40:34,Fintech_Digital,USA,US,Checking_Standard,Mobile_App,LOW,True,Address_Proof_Mismatch,True,L1_Ops,ABANDONED,10.11,235.36,245.47,True,False
APP-1000081,CUST-2000081,2025-08-17 03:31:35,Premier_Wealth,SGP,APAC,Premier_Checking,Affiliate_Partner,LOW,False,None,False,None,APPROVED,1.33,9.09,10.42,False,False
APP-1000082,CUST-2000082,2025-06-24 22:15:33,Standard_Retail,BRA,LATAM,Checking_Standard,Mobile_App,LOW,False,None,False,None,APPROVED,3.11,3.0,6.11,False,False
APP-1000083,CUST-2000083,2025-02-28 05:46:55,Standard_Retail,AUS,APAC,Premier_Checking,Affiliate_Partner,LOW,False,None,False,None,APPROVED,2.88,9.37,12.25,False,False
APP-1000084,CUST-2000084,2025-08-12 02:20:44,Standard_Retail,GBR,UK_EU,Checking_Standard,Web_Portal,LOW,True,Blurry_Image,True,L1_Ops,ABANDONED,8.76,97.4,106.16,True,False
APP-1000085,CUST-2000085,2025-01-19 11:21:55,Standard_Retail,BRA,LATAM,Checking_Standard,Web_Portal,LOW,True,Blurry_Image,True,L1_Ops,APPROVED,10.71,73.28,83.99,True,False
APP-1000086,CUST-2000086,2025-02-27 15:24:30,SME_Business,USA,US,Premier_Checking,Web_Portal,MEDIUM,False,None,True,L2_Compliance,APPROVED,5.68,41.82,47.5,False,False
APP-1000087,CUST-2000087,2025-06-04 01:10:17,Premier_Wealth,DEU,UK_EU,Savings_HighYield,Web_Portal,HIGH,True,Blurry_Image,True,L2_Compliance,ABANDONED,10.26,84.98,95.24,True,True
APP-1000088,CUST-2000088,2025-07-29 01:07:14,Fintech_Digital,USA,US,SME_Operating_Account,Mobile_App,LOW,True,Address_Proof_Mismatch,True,L1_Ops,ABANDONED,5.85,246.87,252.72,True,True
APP-1000089,CUST-2000089,2025-06-26 04:51:29,Standard_Retail,USA,US,Checking_Standard,Mobile_App,LOW,False,None,False,None,APPROVED,2.55,5.22,7.77,False,False
APP-1000090,CUST-2000090,2025-02-06 21:45:37,Standard_Retail,DEU,UK_EU,SME_Operating_Account,Mobile_App,LOW,False,None,False,None,APPROVED,2.61,5.63,8.24,False,False
APP-1000091,CUST-2000091,2025-01-11 18:22:18,SME_Business,BRA,LATAM,Checking_Standard,Branch_Assisted,MEDIUM,True,Blurry_Image,True,L1_Ops,APPROVED,11.62,127.67,139.29,True,False
APP-1000092,CUST-2000092,2025-09-19 13:15:52,SME_Business,USA,US,Checking_Standard,Web_Portal,LOW,True,Expired_ID,True,L1_Ops,APPROVED,13.78,75.78,89.56,True,True
APP-1000093,CUST-2000093,2025-06-02 22:34:59,Premier_Wealth,GBR,UK_EU,SME_Operating_Account,Affiliate_Partner,MEDIUM,False,None,False,None,REJECTED,2.0,8.01,10.01,False,False
APP-1000094,CUST-2000094,2025-11-16 13:26:00,SME_Business,DEU,UK_EU,SME_Operating_Account,Web_Portal,HIGH,False,None,True,L2_Compliance,REJECTED,14.56,123.68,138.24,True,False
APP-1000095,CUST-2000095,2025-12-02 10:52:09,Standard_Retail,USA,US,Premier_Checking,Mobile_App,LOW,False,None,False,None,APPROVED,3.31,10.83,14.14,False,False
APP-1000096,CUST-2000096,2025-07-21 04:45:22,Standard_Retail,SGP,APAC,Checking_Standard,Web_Portal,MEDIUM,False,None,True,L1_Ops,ABANDONED,7.82,63.6,71.42,True,True
APP-1000097,CUST-2000097,2025-08-06 18:50:19,Standard_Retail,USA,US,Checking_Standard,Web_Portal,LOW,False,None,False,None,APPROVED,1.38,6.3,7.68,False,False
APP-1000098,CUST-2000098,2025-11-24 20:03:06,Standard_Retail,FRA,UK_EU,SME_Operating_Account,Mobile_App,LOW,True,Blurry_Image,True,L1_Ops,ABANDONED,7.2,120.18,127.38,True,False
APP-1000099,CUST-2000099,2025-12-29 02:46:01,Standard_Retail,DEU,UK_EU,Checking_Standard,Mobile_App,MEDIUM,False,None,True,L1_Ops,APPROVED,14.49,43.01,57.5,True,False
APP-1000100,CUST-2000100,2025-07-06 06:03:51,Standard_Retail,DEU,UK_EU,Checking_Standard,Mobile_App,LOW,True,Blurry_Image,False,None,APPROVED,3.79,46.05,49.84,True,False
APP-1000101,CUST-2000101,2025-09-10 16:50:27,Premier_Wealth,GBR,UK_EU,Checking_Standard,Mobile_App,MEDIUM,False,None,True,L1_Ops,APPROVED,6.98,78.79,85.77,True,False
APP-1000102,CUST-2000102,2025-11-13 20:35:35,Standard_Retail,GBR,UK_EU,Checking_Standard,Mobile_App,MEDIUM,False,None,True,L1_Ops,APPROVED,4.18,43.73,47.91,False,False
APP-1000103,CUST-2000103,2025-09-03 21:46:27,Standard_Retail,SGP,APAC,SME_Operating_Account,Mobile_App,MEDIUM,False,None,True,L1_Ops,APPROVED,22.06,125.04,147.1,True,False
APP-1000104,CUST-2000104,2025-01-23 09:53:26,Fintech_Digital,SGP,APAC,SME_Operating_Account,Web_Portal,LOW,False,None,False,None,APPROVED,4.08,15.2,19.28,False,False
APP-1000105,CUST-2000105,2025-08-24 14:18:50,Standard_Retail,USA,US,Checking_Standard,Mobile_App,LOW,True,Blurry_Image,False,None,ABANDONED,1.38,48.24,49.62,True,True
APP-1000106,CUST-2000106,2025-09-18 22:31:18,Standard_Retail,GBR,UK_EU,Premier_Checking,Web_Portal,LOW,True,Blurry_Image,False,None,APPROVED,1.7,34.32,36.02,False,False
APP-1000107,CUST-2000107,2025-05-27 21:04:17,SME_Business,FRA,UK_EU,Premier_Checking,Web_Portal,LOW,False,None,False,None,APPROVED,2.71,15.21,17.92,False,False
APP-1000108,CUST-2000108,2025-12-05 10:14:13,Standard_Retail,USA,US,Checking_Standard,Web_Portal,LOW,True,Incomplete_Form,True,L1_Ops,APPROVED,11.01,109.6,120.61,True,False
APP-1000109,CUST-2000109,2025-08-18 23:32:45,Standard_Retail,USA,US,Checking_Standard,Mobile_App,LOW,True,Address_Proof_Mismatch,True,L1_Ops,APPROVED,11.99,136.03,148.02,True,False
APP-1000110,CUST-2000110,2025-09-22 11:18:53,Standard_Retail,DEU,UK_EU,Savings_HighYield,Web_Portal,LOW,True,Blurry_Image,True,L1_Ops,APPROVED,10.62,147.92,158.54,True,False
APP-1000111,CUST-2000111,2025-12-26 14:37:37,Standard_Retail,DEU,UK_EU,Checking_Standard,Mobile_App,MEDIUM,True,Expired_ID,True,L1_Ops,APPROVED,11.35,173.41,184.76,True,False
APP-1000112,CUST-2000112,2025-01-14 10:03:32,Fintech_Digital,GBR,UK_EU,Checking_Standard,Web_Portal,LOW,False,None,False,None,APPROVED,2.54,8.2,10.74,False,False
APP-1000113,CUST-2000113,2025-12-29 02:22:15,SME_Business,FRA,UK_EU,Checking_Standard,Web_Portal,LOW,False,None,False,None,APPROVED,1.53,5.26,6.79,False,False
APP-1000114,CUST-2000114,2025-07-27 06:15:54,Premier_Wealth,MEX,LATAM,Premier_Checking,Web_Portal,MEDIUM,False,None,False,None,APPROVED,2.99,12.55,15.54,False,False
APP-1000115,CUST-2000115,2025-04-27 01:52:45,Fintech_Digital,SGP,APAC,SME_Operating_Account,Branch_Assisted,LOW,False,None,False,None,APPROVED,3.05,8.14,11.19,False,False
APP-1000116,CUST-2000116,2025-01-19 00:45:52,SME_Business,DEU,UK_EU,Checking_Standard,Mobile_App,PEP,False,None,True,L2_Compliance,APPROVED,14.0,89.42,103.42,True,False
APP-1000117,CUST-2000117,2025-02-26 12:59:37,Standard_Retail,AUS,APAC,SME_Operating_Account,Affiliate_Partner,LOW,False,None,False,None,APPROVED,3.26,8.69,11.95,False,False
APP-1000118,CUST-2000118,2025-09-30 07:40:10,Fintech_Digital,SGP,APAC,SME_Operating_Account,Mobile_App,LOW,True,Blurry_Image,False,None,APPROVED,1.26,75.54,76.8,True,True
APP-1000119,CUST-2000119,2025-03-25 02:04:38,Standard_Retail,FRA,UK_EU,Checking_Standard,Mobile_App,MEDIUM,False,None,True,L1_Ops,APPROVED,9.06,93.85,102.91,True,False
APP-1000120,CUST-2000120,2025-09-16 01:00:36,SME_Business,USA,US,SME_Operating_Account,Mobile_App,LOW,False,None,False,None,APPROVED,1.91,10.33,12.24,False,False
APP-1000121,CUST-2000121,2025-03-01 15:38:12,Fintech_Digital,USA,US,SME_Operating_Account,Mobile_App,LOW,False,None,False,None,REJECTED,1.42,8.47,9.89,False,False
APP-1000122,CUST-2000122,2025-08-25 15:51:18,Standard_Retail,SGP,APAC,Checking_Standard,Branch_Assisted,LOW,False,None,False,None,APPROVED,1.84,9.75,11.59,False,False
