review_id,application_id,queue_name,analyst_id,duration_minutes,decision
REV-3000000,APP-1000000,L1_Document_Exception,ANL-181,708.6,APPROVE
REV-3000001,APP-1000001,L2_AML_Sanctions,ANL-147,685.2,APPROVE
REV-3000002,APP-1000002,L2_AML_Sanctions,ANL-183,435.6,APPROVE
REV-3000003,APP-1000003,L1_Document_Exception,ANL-113,503.4,APPROVE
REV-3000004,APP-1000006,L1_Document_Exception,ANL-230,847.8,APPROVE
REV-3000005,APP-1000008,L2_AML_Sanctions,ANL-115,742.8,APPROVE
REV-3000006,APP-1000010,L1_Document_Exception,ANL-198,459.0,APPROVE
REV-3000007,APP-1000015,L2_AML_Sanctions,ANL-144,1425.6,APPROVE
REV-3000008,APP-1000016,L2_AML_Sanctions,ANL-113,681.6,APPROVE
REV-3000009,APP-1000017,L1_Document_Exception,ANL-138,595.2,APPROVE
REV-3000010,APP-1000018,L1_Document_Exception,ANL-188,769.8,APPROVE
REV-3000011,APP-1000020,L1_Document_Exception,ANL-108,658.2,APPROVE
REV-3000012,APP-1000021,L1_Document_Exception,ANL-124,313.2,APPROVE
REV-3000013,APP-1000026,L1_Document_Exception,ANL-129,576.6,APPROVE
REV-3000014,APP-1000031,L1_Document_Exception,ANL-134,519.6,APPROVE
REV-3000015,APP-1000032,L1_Document_Exception,ANL-139,220.2,REQUEST_REWORK
REV-3000016,APP-1000035,L1_Document_Exception,ANL-207,686.4,APPROVE
REV-3000017,APP-1000036,L1_Document_Exception,ANL-172,579.0,REQUEST_REWORK
REV-3000018,APP-1000037,L2_AML_Sanctions,ANL-166,955.8,REJECT
REV-3000019,APP-1000039,L2_AML_Sanctions,ANL-191,547.2,APPROVE
REV-3000020,APP-1000042,L2_AML_Sanctions,ANL-175,539.4,APPROVE
REV-3000021,APP-1000045,L1_Document_Exception,ANL-109,771.0,APPROVE
REV-3000022,APP-1000048,L1_Document_Exception,ANL-110,833.4,APPROVE
REV-3000023,APP-1000054,L2_AML_Sanctions,ANL-137,769.2,APPROVE
REV-3000024,APP-1000057,L1_Document_Exception,ANL-130,666.0,APPROVE
REV-3000025,APP-1000058,L1_Document_Exception,ANL-214,531.6,APPROVE
REV-3000026,APP-1000060,L2_AML_Sanctions,ANL-196,804.6,APPROVE
REV-3000027,APP-1000064,L1_Document_Exception,ANL-101,1458.6,APPROVE
REV-3000028,APP-1000068,L1_Document_Exception,ANL-198,879.6,APPROVE
REV-3000029,APP-1000070,L2_AML_Sanctions,ANL-134,1213.2,APPROVE
REV-3000030,APP-1000075,L1_Document_Exception,ANL-184,1029.6,APPROVE
REV-3000031,APP-1000079,L1_Document_Exception,ANL-120,498.6,APPROVE
REV-3000032,APP-1000080,L1_Document_Exception,ANL-177,606.6,REQUEST_REWORK
REV-3000033,APP-1000084,L1_Document_Exception,ANL-186,525.6,REQUEST_REWORK
REV-3000034,APP-1000085,L1_Document_Exception,ANL-246,642.6,APPROVE
REV-3000035,APP-1000086,L2_AML_Sanctions,ANL-242,340.8,APPROVE
REV-3000036,APP-1000087,L2_AML_Sanctions,ANL-205,615.6,REQUEST_REWORK
REV-3000037,APP-1000088,L1_Document_Exception,ANL-236,351.0,REQUEST_REWORK
REV-3000038,APP-1000091,L1_Document_Exception,ANL-242,697.2,APPROVE
REV-3000039,APP-1000092,L1_Document_Exception,ANL-214,826.8,APPROVE
REV-3000040,APP-1000094,L2_AML_Sanctions,ANL-163,873.6,REJECT
REV-3000041,APP-1000096,L1_Document_Exception,ANL-213,469.2,REQUEST_REWORK
REV-3000042,APP-1000098,L1_Document_Exception,ANL-170,432.0,REQUEST_REWORK
REV-3000043,APP-1000099,L1_Document_Exception,ANL-149,869.4,APPROVE
REV-3000044,APP-1000101,L1_Document_Exception,ANL-173,418.8,APPROVE
REV-3000045,APP-1000102,L1_Document_Exception,ANL-222,250.8,APPROVE
REV-3000046,APP-1000103,L1_Document_Exception,ANL-240,1323.6,APPROVE
REV-3000047,APP-1000108,L1_Document_Exception,ANL-120,660.6,APPROVE
REV-3000048,APP-1000109,L1_Document_Exception,ANL-201,719.4,APPROVE
REV-3000049,APP-1000110,L1_Document_Exception,ANL-244,637.2,APPROVE
REV-3000050,APP-1000111,L1_Document_Exception,ANL-235,681.0,APPROVE
REV-3000051,APP-1000116,L2_AML_Sanctions,ANL-223,840.0,APPROVE
REV-3000052,APP-1000119,L1_Document_Exception,ANL-241,543.6,APPROVE
REV-3000053,APP-1000124,L2_AML_Sanctions,ANL-135,640.2,APPROVE
REV-3000054,APP-1000126,L1_Document_Exception,ANL-200,573.6,APPROVE
REV-3000055,APP-1000127,L1_Document_Exception,ANL-246,982.8,APPROVE
REV-3000056,APP-1000128,L2_AML_Sanctions,ANL-163,594.6,APPROVE
REV-3000057,APP-1000129,L1_Document_Exception,ANL-147,687.6,APPROVE
REV-3000058,APP-1000131,L2_AML_Sanctions,ANL-131,895.8,APPROVE
REV-3000059,APP-1000132,L1_Document_Exception,ANL-226,430.2,APPROVE
REV-3000060,APP-1000136,L1_Document_Exception,ANL-163,718.2,APPROVE
REV-3000061,APP-1000140,L1_Document_Exception,ANL-176,838.2,APPROVE
REV-3000062,APP-1000142,L1_Document_Exception,ANL-190,601.8,APPROVE
REV-3000063,APP-1000145,L2_AML_Sanctions,ANL-229,245.4,APPROVE
REV-3000064,APP-1000151,L2_AML_Sanctions,ANL-190,606.6,REQUEST_REWORK
REV-3000065,APP-1000152,L1_Document_Exception,ANL-235,516.6,APPROVE
REV-3000066,APP-1000153,L1_Document_Exception,ANL-138,1197.0,APPROVE
REV-3000067,APP-1000159,L2_AML_Sanctions,ANL-232,280.2,APPROVE
REV-3000068,APP-1000160,L1_Document_Exception,ANL-236,575.4,APPROVE
REV-3000069,APP-1000161,L1_Document_Exception,ANL-168,910.2,APPROVE
REV-3000070,APP-1000162,L2_AML_Sanctions,ANL-163,579.6,APPROVE
REV-3000071,APP-1000165,L1_Document_Exception,ANL-140,616.2,APPROVE
REV-3000072,APP-1000168,L1_Document_Exception,ANL-217,491.4,REQUEST_REWORK
REV-3000073,APP-1000169,L1_Document_Exception,ANL-200,639.0,APPROVE
REV-3000074,APP-1000174,L1_Document_Exception,ANL-233,855.6,REQUEST_REWORK
REV-3000075,APP-1000175,L1_Document_Exception,ANL-219,1434.6,APPROVE
REV-3000076,APP-1000177,L1_Document_Exception,ANL-245,1206.0,APPROVE
REV-3000077,APP-1000182,L1_Document_Exception,ANL-114,542.4,APPROVE
REV-3000078,APP-1000185,L1_Document_Exception,ANL-237,1013.4,APPROVE
REV-3000079,APP-1000188,L1_Document_Exception,ANL-154,678.6,APPROVE
REV-3000080,APP-1000189,L1_Document_Exception,ANL-218,1042.2,REQUEST_REWORK
REV-3000081,APP-1000190,L1_Document_Exception,ANL-150,541.8,APPROVE
REV-3000082,APP-1000192,L2_AML_Sanctions,ANL-187,511.8,APPROVE
REV-3000083,APP-1000197,L1_Document_Exception,ANL-231,444.6,APPROVE
REV-3000084,APP-1000198,L2_AML_Sanctions,ANL-236,795.6,APPROVE
REV-3000085,APP-1000201,L1_Document_Exception,ANL-126,429.6,REQUEST_REWORK
REV-3000086,APP-1000202,L1_Document_Exception,ANL-136,460.8,APPROVE
REV-3000087,APP-1000213,L1_Document_Exception,ANL-176,1364.4,REQUEST_REWORK
REV-3000088,APP-1000217,L1_Document_Exception,ANL-125,674.4,APPROVE
REV-3000089,APP-1000219,L2_AML_Sanctions,ANL-104,177.0,APPROVE
REV-3000090,APP-1000220,L1_Document_Exception,ANL-140,556.2,APPROVE
REV-3000091,APP-1000221,L1_Document_Exception,ANL-152,640.8,APPROVE
REV-3000092,APP-1000222,L1_Document_Exception,ANL-113,595.8,APPROVE
REV-3000093,APP-1000224,L2_AML_Sanctions,ANL-230,445.8,APPROVE
REV-3000094,APP-1000230,L1_Document_Exception,ANL-217,1162.2,REQUEST_REWORK
REV-3000095,APP-1000231,L1_Document_Exception,ANL-133,283.8,REQUEST_REWORK
REV-3000096,APP-1000235,L1_Document_Exception,ANL-125,878.4,APPROVE
REV-3000097,APP-1000243,L1_Document_Exception,ANL-237,1240.8,APPROVE
REV-3000098,APP-1000248,L1_Document_Exception,ANL-169,686.4,APPROVE
REV-3000099,APP-1000249,L1_Document_Exception,ANL-144,872.4,APPROVE
REV-3000100,APP-1000251,L1_Document_Exception,ANL-185,652.2,APPROVE
REV-3000101,APP-1000252,L1_Document_Exception,ANL-176,986.4,APPROVE
