ticket_id,application_id,channel,issue_category,resolution_time_mins,cost_to_serve_usd
TCK-4000000,APP-1000002,Phone_IVR,Status_Inquiry_WhereIsMyAccount,40,18.0
TCK-4000001,APP-1000007,In_App_Chat,Document_Upload_Failure,13,8.5
TCK-4000002,APP-1000009,In_App_Chat,General_Clarification,30,8.5
TCK-4000003,APP-1000010,In_App_Chat,Status_Inquiry_WhereIsMyAccount,22,8.5
TCK-4000004,APP-1000012,In_App_Chat,Status_Inquiry_WhereIsMyAccount,30,8.5
TCK-4000005,APP-1000014,Email_Helpdesk,General_Clarification,39,12.0
TCK-4000006,APP-1000018,In_App_Chat,Status_Inquiry_WhereIsMyAccount,24,8.5
TCK-4000007,APP-1000020,Phone_IVR,Status_Inquiry_WhereIsMyAccount,25,18.0
TCK-4000008,APP-1000026,Phone_IVR,Status_Inquiry_WhereIsMyAccount,44,18.0
TCK-4000009,APP-1000031,Phone_IVR,Status_Inquiry_WhereIsMyAccount,40,18.0
TCK-4000010,APP-1000034,Phone_IVR,General_Clarification,15,18.0
TCK-4000011,APP-1000036,In_App_Chat,Status_Inquiry_WhereIsMyAccount,15,8.5
TCK-4000012,APP-1000045,Phone_IVR,Status_Inquiry_WhereIsMyAccount,21,18.0
TCK-4000013,APP-1000049,In_App_Chat,Document_Upload_Failure,7,8.5
TCK-4000014,APP-1000054,In_App_Chat,Status_Inquiry_WhereIsMyAccount,43,8.5
TCK-4000015,APP-1000057,In_App_Chat,Status_Inquiry_WhereIsMyAccount,24,8.5
TCK-4000016,APP-1000058,In_App_Chat,Status_Inquiry_WhereIsMyAccount,14,8.5
TCK-4000017,APP-1000064,In_App_Chat,Status_Inquiry_WhereIsMyAccount,13,8.5
TCK-4000018,APP-1000067,Phone_IVR,Status_Inquiry_WhereIsMyAccount,13,18.0
TCK-4000019,APP-1000087,Phone_IVR,Status_Inquiry_WhereIsMyAccount,13,18.0
TCK-4000020,APP-1000088,In_App_Chat,Status_Inquiry_WhereIsMyAccount,31,8.5
TCK-4000021,APP-1000092,In_App_Chat,Status_Inquiry_WhereIsMyAccount,31,8.5
TCK-4000022,APP-1000096,Phone_IVR,Status_Inquiry_WhereIsMyAccount,39,18.0
TCK-4000023,APP-1000105,In_App_Chat,Status_Inquiry_WhereIsMyAccount,35,8.5
TCK-4000024,APP-1000118,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,6,12.0
TCK-4000025,APP-1000123,Email_Helpdesk,Document_Upload_Failure,17,12.0
TCK-4000026,APP-1000127,In_App_Chat,Status_Inquiry_WhereIsMyAccount,20,8.5
TCK-4000027,APP-1000133,In_App_Chat,Document_Upload_Failure,9,8.5
TCK-4000028,APP-1000138,In_App_Chat,Status_Inquiry_WhereIsMyAccount,28,8.5
TCK-4000029,APP-1000139,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,36,12.0
TCK-4000030,APP-1000140,Phone_IVR,Status_Inquiry_WhereIsMyAccount,12,18.0
